浴[あ]びる,
危[あぶ]ない,
あちら,
上[あ]げる,
間[あいだ],
挨拶[あいさつ],
相手[あいて],
味[あじ],
赤[あか]ちゃん,
赤[あか]い,
明[あか]るい,
開[あ]ける,
秋[あき],
開[あ]く,
甘[あま]い,
あまり,
雨[あめ],
あなた,
姉[あね],
兄[あに],
あの,
安全[あんぜん],
青[あお]い,
洗[あら]う,
あれ,
ありがとうございます,
ある,
アルバイト,
朝[あさ],
朝[あさ]ご飯[はん],
明後日[あさって],
足[あし],
明日[あした],
遊[あそ]ぶ,
あそこ,
頭[あたま],
新[あたら]しい,
暖[あたた]かい,
暑[あつ]い,
熱[あつ]い,
会[あ]う,
晩[ばん],
番[ばん],
バナナ,
番号[ばんごう],
番組[ばんぐみ],
場所[ばしょ],
バス,
ベッド,
便利[べんり],
ボタン,
文[ぶん],
文化[ぶんか],
文法[ぶんぽう],
豚[ぶた],
豚肉[ぶたにく],
病院[びょういん],
病気[びょうき],
茶色[ちゃいろい]い,
茶碗[ちゃわん],
父[ちち],
違[ちが]い,
違[ちが]う,
小[ちい]さい,
近[ちか]い,
近[ちか]く,
力[ちから],
地下鉄[ちかてつ],
地図[ちず],
ちょっと,
ちょっと待[ま]ってください,
注意[ちゅうい],
台[だい],
台所[だいどころ],
大学[だいがく],
大丈夫[だいじょうぶ],
大体[だいたい],
だから,
だけ,
だんだん,
誰[だれ],
出[だ]す,
で,
出口[でぐち],
出[で]かける,
出来[でき]る,
でも,
電池[でんち],
電気[でんき],
電[でん]車[しゃ],
電子[でんしレンジ]レンジ,
電話[でんわ],
電話番号[でんわばんごう],
電話[でんわ]する,
デパート,
ドア,
どんな,
どの,
どれ,
どう,
動物[どうぶつ],
動物園[どうぶつえん],
どうも,
どうぞ,
土曜日[どようび],
絵[え],
へ,
エアコン,
映画館[えいがかん],
英[えい]語[ご],
駅[えき],
円[えん],
鉛筆[えんぴつ],
選[えら]ぶ,
エレベーター,
不便[ふべん],
吹[ふ]く,
服[ふく],
船[ふね],
降[ふ]る,
古[ふる]い,
不思議[ふしぎ],
二人[ふたり],
二[ふた]つ,
太[ふと]い,
布団[ふとん],
太[ふと]る,
普通[ふつう],
封筒[ふうとう],
冬[ふゆ],
が,
外国[がいこく],
外国人[がいこくじん],
学校[がっこう],
学生[がくせい],
玄関[げんかん],
元気[げんき],
月[げつ]曜日[ようび],
銀行[ぎんこう],
ギター,
午後[ごご],
ご飯[はん],
ごめんなさい,
五人[ごにん],
ごろ,
ご主人[しゅじん],
午前[ごぜん],
ぐらい,
牛肉[ぎゅうにく],
牛乳[ぎゅうにゅう],
歯[は],
葉書[はがき],
母[はは],
杯[はい],
入[はい]る,
始[はじ]まる,
はじめまして,
初[はじ]めて,
箱[はこ],
半[はん],
花[はな],
鼻[はな],
話[はなし],
話[はな]す,
半[はん]分[ぶん],
ハンカチ,
反対[はんたい],
払[はら]う,
晴[は]れる,
春[はる],
橋[はし],
箸[はし],
走[はし]る,
働[はたら]く,
発音[はつおん],
速[はや]い,
早[はや]い,
林[はやし],
恥[は]ずかしい,
返事[へんじ],
下手[したて],
部屋[へや],
日[ひ],
左[ひだり],
光[ひかり],
匹[ひき],
引[ひ]き出[だ]し,
飛行機[ひこうき],
弾[ひ]く,
引[ひ]く,
低[ひく]い,
暇[ひま],
広[ひろ]い,
昼[ひる],
昼[ひる]ご飯[はん],
久[ひさ]しぶり,
人[ひと],
一人[ひとり],
一[ひと]つ,
必要[ひつよう],
本[ほん],
